time,V(101),V(102),V(103),V(104),V(107),V(106),V(108),V(110),V(114),V(111),V(115),V(129),V(109),V(139),V(149),V(154),V(164),V(112),V(212),V(113),V(213)
3.05e-09,3,2.84488,2.84089,0.402971,0.409737,1.00003,0.413239,0.599998,0.00362509,0.594958,0.00346414,0.00361174,0.00301602,0.00358386,0.00355965,0.400297,1,0.6,0,0.594918,-0.00876308
3.1e-09,3,2.85229,2.8465,0.418027,0.412634,1.00033,0.417454,0.600013,0.00354266,0.593602,0.00338186,0.00353274,0.00293643,0.00349734,0.00352437,0.418849,1,0.6,0,0.593548,-0.00770517
3.15e-09,3,2.86239,2.85485,0.47917,0.416061,1.00047,0.422153,0.600019,0.00348903,0.592428,0.00333982,0.00348249,0.00288578,0.00344064,0.00348823,0.483554,1,0.6,0,0.592372,-0.00637426
3.2e-09,3,2.87316,2.86407,0.581606,0.419482,1.00051,0.426702,0.600019,0.00346785,0.59155,0.00334165,0.00346496,0.00286808,0.00341833,0.00345312,0.589271,1,0.6,0,0.591501,-0.00481755
3.25e-09,3,2.88312,2.87278,0.717232,0.422526,1.00047,0.430614,0.600016,0.00348218,0.591066,0.00338967,0.00348326,0.00288644,0.00343404,0.00342105,0.727605,1,0.6,0,0.591032,-0.00309018
3.3e-09,3,2.88677,2.87845,0.875356,0.43016,1.00043,0.437605,0.600061,0.00354393,0.591097,0.00349252,0.00354253,0.00294563,0.00349319,0.00339414,0.887571,1,0.6,0,0.591042,-0.00125334
3.35e-09,3,2.86044,2.85806,1.04396,0.480132,1.00094,0.48605,0.600478,0.00371752,0.592033,0.00371402,0.0036699,0.00307014,0.00362315,0.0033758,1.05646,1,0.6,0,0.59158,0.000627899
3.4e-09,3,2.81793,2.82166,1.20975,0.574866,1.00206,0.580197,0.600926,0.00393678,0.593563,0.00398947,0.00386974,0.00326596,0.00382862,0.00336958,1.22087,1,0.6,0,0.592664,0.00248689
3.45e-09,3,2.77681,2.78371,1.35916,0.700771,1.00329,0.705459,0.60124,0.00419533,0.59548,0.00430584,0.00413047,0.0035228,0.00409793,0.00337825,1.36774,1,0.6,0,0.594278,0.00425779
3.5e-09,3,2.75852,2.76546,1.47976,0.821358,1.00397,0.82493,0.601194,0.00444642,0.59751,0.00461609,0.0044189,0.00380957,0.0043978,0.00340267,1.48541,1,0.6,0,0.596367,0.00587785
3.55e-09,3,2.76211,2.76729,1.56173,0.915289,1.0038,0.917411,0.600932,0.00469985,0.599715,0.00492469,0.0047058,0.00409684,0.00469863,0.00344196,1.56453,1,0.6,0,0.598846,0.00728968
3.6e-09,3,2.78104,2.78349,1.5987,0.971705,1.00294,0.971996,0.600559,0.00493458,0.602084,0.00520506,0.00496654,0.0043595,0.00497509,0.0034939,1.59882,1,0.6,0,0.601598,0.00844327
3.65e-09,3,2.80928,2.80848,1.58792,0.98577,1.00164,0.983766,0.600136,0.0051283,0.604536,0.00543097,0.00518054,0.00457663,0.00520574,0.00355518,1.58555,1,0.6,0,0.60448,0.00929775
3.7e-09,3,2.84198,2.83777,1.53035,0.957083,1.00011,0.952213,0.599708,0.00526511,0.606958,0.00558332,0.00533192,0.00473202,0.0053737,0.00362179,1.52578,1,0.6,0,0.607336,0.00982287
3.75e-09,3,2.87522,2.86776,1.43064,0.888974,0.998544,0.880522,0.599313,0.00533488,0.609223,0.00564988,0.00541005,0.00481466,0.00546729,0.00368931,1.42426,1,0.6,0,0.61,0.01
3.8e-09,3,2.90581,2.89559,1.29673,0.787863,0.9971,0.774919,0.598981,0.0053327,0.611199,0.00562496,0.00540984,0.00481908,0.00548039,0.00375326,1.28905,1,0.6,0,0.61231,0.00982287
3.85e-09,3,2.93135,2.91913,1.13928,0.662373,0.995896,0.643812,0.598734,0.00525831,0.612757,0.00550907,0.00533152,0.00474515,0.00541227,0.00380941,1.13089,1,0.6,0,0.614115,0.00929777
3.9e-09,3,2.93499,2.93192,0.970974,0.535433,0.995236,0.515946,0.598715,0.00514334,0.613969,0.0053465,0.0051916,0.00460813,0.00527928,0.00385462,0.962326,1,0.6,0,0.615289,0.00844328
3.95e-09,3,2.89885,2.91081,0.805751,0.459308,0.995727,0.440102,0.599213,0.00505298,0.614938,0.00519044,0.00503044,0.00444561,0.00512094,0.00388807,0.796758,1,0.6,0,0.615733,0.00728969
4e-09,3,2.85828,2.87756,0.656445,0.425265,0.997049,0.408184,0.599635,0.00489173,0.615049,0.00495369,0.00485224,0.00426504,0.00494112,0.00390941,0.647329,1,0.6,0,0.615388,0.00587786
4.05e-09,3,2.83234,2.8538,0.534194,0.412416,0.998377,0.397379,0.59985,0.00468268,0.61413,0.00465679,0.00464942,0.00406023,0.00473181,0.00391794,0.525908,1,0.6,0,0.614238,0.0042578
4.1e-09,3,2.82186,2.84267,0.448445,0.409077,0.999346,0.395992,0.599947,0.00444875,0.612314,0.00433444,0.00441949,0.00382854,0.00449074,0.00391288,0.442135,1,0.6,0,0.61231,0.00248691
4.15e-09,3,2.82263,2.84117,0.406091,0.409863,0.999961,0.398917,0.599989,0.00419365,0.609738,0.00399576,0.00416512,0.00357246,0.00422114,0.00389361,0.402663,1,0.6,0,0.609676,0.000627927
4.2e-09,3,2.83049,2.8457,0.410642,0.412408,1.00032,0.40397,0.600007,0.00392208,0.606548,0.00365026,0.00389324,0.00329885,0.0039307,0.00385995,0.410627,1,0.6,0,0.606452,-0.0012532
4.25e-09,3,2.8423,2.85341,0.461853,0.415611,1.00051,0.410112,0.600014,0.003643,0.602904,0.00331126,0.00361426,0.00301814,0.00363082,0.0038123,0.465395,1,0.6,0,0.602788,-0.00309015
4.3e-09,3,2.85582,2.86229,0.555726,0.418878,1.00059,0.416709,0.600015,0.00336886,0.59899,0.00299468,0.00334132,0.00274356,0.00333577,0.00375181,0.562618,1,0.6,0,0.598864,-0.00481753
4.35e-09,3,2.8694,2.8709,0.684844,0.421814,1.00058,0.423262,0.600012,0.00311412,0.595007,0.00271713,0.00308924,0.00248998,0.00306153,0.00368038,0.694574,1,0.6,0,0.594879,-0.00637423
4.4e-09,3,2.88073,2.87799,0.838987,0.425268,1.00053,0.430105,0.600017,0.00289603,0.59117,0.0024962,0.00287387,0.00227328,0.0028251,0.00360074,0.850786,1,0.6,0,0.591042,-0.00770513
